Sentence,Label
"While it is true that when the State introduces a confession containing exculpatory statements it is ordinarily incumbent upon the court to instruct the jury that the exculpatory statements are to be regarded as true unless disproved, this is not the rule where the accused testifies before the jury in accordance with such exculpatory statements, and his defensive theory is fairly submitted to the jury.",Rule/Law/Holding
"The appellant's written statement made May 22, 1961, and introduced in evidence by the state, recites in part:",Facts
"Filer: Well, Your Honor, I think the State can show what the outcome of the broken leg is.",Others
Appellant subpoenaed no witnesses.,Facts
"City of Farmersville, 67 S.W. 2d 235 (differentiated by the Supreme Court of this State in Ex Parte Jimenez, supra), wherein the caption failed to mention an important change in the law, the Supreme Court held that the caption of the Act in the power company case was misleading in that it affirmatively suggested that the Act did not contain the provision in question.",Rule/Law/Holding
No other negligent act or omission on the part of appellant is shown save excessive speed.”,Facts
An examination of the record reveals that no objection was lodged by appellant which would raise the question of legality of the arrest.,Facts
The trial was to the court without a jury.,Facts
He wouldn'tlet me look at him.,Facts
"""Indeed, the authorities teach that an instrument, without any drawee named, is the subject of forgery, and it need not be shown in the indictment by explanatory averments on whom it was intended that the instrument was drawn.""",Facts
"It was during this time that appellant, in conversation with the officer, made the incriminating statement to him.",Facts
"""Where the instrument alleged to be forged is set out in the indictment according to its tenor the writing offered in evidence must conform thereto with almost minute precision.",Analysis
He stated that when he placed the unit in the hallway it required the help of another man to lift it.,Facts
That section expressly states that the Government Claims Fund will not be used to pay for claims against GMH.,Rule/Law/Holding
“The homicide must be the consequence of the act done or attempted to be done.”,Rule/Law/Holding
"The jury resolved the disputed issue of intoxication against appellant, and we find the evidence sufficient to support their verdict.",Analysis
His principal contention on appeal is that penetration was not shown except by his confession.,Issue
Appellant's first four claims for reversal relate to the testimony of Police Officer Johnnie Perdue and are presented as informal bills of exception 1 to 4 inclusive.,Facts
Other grounds urged by appellant in his motion for rehearing were not presented in his brief on file herein upon the original hearing and are overruled.,Conclusion
Appellant fled the scene prior to the arrival of the ambulance.,Facts
We find no merit in appellant's contention that the evidence is insufficient to show that she possessed the capsules of heroin because the testimony showed that she only had them in her possession for approximately 25 seconds before delivering them to the state's witness.,Conclusion
"The third cause of action is against defendant Taijeron for negligent supervision and claims $400,000 in damages.",Facts
"They were met by appellant's wife, coming around the house with a small child.",Facts
"Had the new Rules of Appellate Procedure been in effect during the pendency of this appeal, sanctions against the responsible attorneys would have been appropriate.",Analysis
"The Legislature, in enacting Art. 1404b providing a punishment for the entry by breaking of a vehicle for the purpose of committing a felony or misdemeanor, made such statute a part of said Chapter 6, Title 17 of the Penal Code, in the following language:",Rule/Law/Holding
"Finding no reversible error, the judgment is affirmed.",Conclusion
The information was received by them in the city of Brownsville during the afternoon.,Facts
"Upon such verdict, judgment was entered finding appellant ""guilty of the offense of Unlawfully with lascivious intent, intentionally place his hands and the fingers of his hands upon and against the sexual parts of a female person under the age of fourteen years, a felony, as found by the jury"".",Conclusion
"Defendant was represented by Assistant Attorney General Roger Willmeth, the plaintiff was represented by Timothy Stewart.",Facts
This matter came before the Court on defendant's summary judgment motion and motion to dismiss.,Facts
When appellant's counsel made his request the lists were in the hands of the clerk but had not been brought into the courtroom or compared.,Facts
"The conviction is under Art. 1295, V.A.P.C., for sending an anonymous letter; the punishment, one month in jail and a fine of $250.",Rule/Law/Holding
"The record shows that counsel for the defendant made his request before the list of jurors chosen had been prepared by the clerk and, according to said counsel’s affidavit, “before either defendant or affiant had seen the list furnished said clerk by counsel for the State, and not knowing what if any strikes the State had made thereon.”",Facts
On direct examination the injured party testified that the appellant received 2 rings and $7 cash for the $17 check and on cross-examination he stated in effect that appellant received $5.,Facts
Appellant did not pass the test and there is no showing of bad faith on the part of the officer.,Facts
"The offense is fondling the sexual parts of a female under the age of fourteen years; the punishment, two years' confinement in the penitentiary.",Conclusion
They testified that they did not give anyone their consent to take the calf.,Facts
He stated that he did not know Jerry Fields was going to sign the name James Cook to the,Facts
"Not again seeing Nick, she started running downstairs but was pushed back.",Facts
The testimony complained of was not improper as forcing the appellant to give evidence against himself.,Conclusion
"A supplemental transcript showing that recognizance was in fact entered after notice of appeal was given has been filed, and our prior opinion dismissing this appeal is withdrawn.",Facts
"Deputy District Clerk Keegan testified that the name of the principal was called distinctly three times outside the court room door, but that he did not know if it was called at the main door of the court house.",Facts
The other allegation which appellant admitted was that he had paid no part of his court costs as instructed by the court.,Facts
Then appellant ordered her into a room in the back.,Facts
"Appellant next insists that State's counsel committed reversible error in his jury argument when he stated: ""While we are talking about George Sullivan, there was no objection to this statement and it was introduced in evidence but we proved that George Sullivan made a second statement * * *"" Appellant insists that such remark presents reversible error notwithstanding the court's instruction to the jury not to consider such statement because it was not shown that Sullivan made a second statement.",Facts
"She replied that she did not think so as she ""had seen one of them twice that robbed us twice"".",Facts
"While the chemist testified that he could not swear that the substance was manufactured by the Eli Lilly Company, he testified positively that it was of the same",Facts
We think there is no semblance or analogy between the authorities cited by appellant and this case.,Analysis
"And, what was the condition of them at that time?",Others
"The trial judge sustained appellant’s objection and instructed the jury to disregard such remarks, but overruled appellant’s motion for mistrial.",Facts
Do you think that he only put his private parts into you just a little way?,Others
This court's jurisdiction in appeals in causes originating in the corporation court is limited to convictions where the fine assessed in the county court exceeds $100.,Analysis
The proceedings appear to be otherwise regular and we find no error.,Conclusion
The record contains no formal bills of exception or objection to the court's charge.,Facts
"But in Kauss summary judgment was granted where a plaintiff filed a claim for intentional acts, and later a complaint for negligence.",Facts
When she got the whisky I pulled the gun on her and told her to put the money in the sack and forget about the whisky.,Facts
The undisputed testimony reflects that appellant was driving a pickup truck in the city of Abilene and hit a center island in the street.,Facts
We didn't know one way or the other.,Facts
"Objection was made that the court, in Paragraph 4, commented on the weight of the evidence.",Facts
The fact that the witness further testified on cross-examination that the statements referred to were not made in the presence of the appellant did not render the answer inadmissible.,Analysis
Sergeant Holcomb was contacted and an intoximeter test numbered 443 was taken with appellant’s consent.,Facts
"The next complaint is that in Paragraph 1 the court instructed the jury that the slightest penetration of the body of the female by the sexual organ of the male is sufficient ""for proof of rape by force"".",Issue
"The testimony of witnesses for the state and for appellant reflects that Deputy Sheriff Williams and Everett were patrolling the Van highway beyond the “Loop” from the city of Tyler when they observed appellant, accompanied by a man by the name of J. W. Lacy, driving a pickup truck and entering the highway from a farm-to-market road “that comes off the Mineola and Van highway.”",Facts
"Highway patrolman Tidwell testified that he went to the scene and found that an automobile had turned over “more than one time” and that he then went to the hospital, where he saw appellant.",Facts
"This matter comes before the Court on Plaintiffs' motion for reconsideration filed July 14, 1978.",Facts
"Proof was offered that an analysis made by a chemist showed that each of the capsules contained heroin, four of the tablets contained dilaudid, and ten tablets contained amidone.",Facts
"In disposing of the last contention made by appellant, being that the wine was found as a result of an unauthorized search, we think that the officers had probable cause to search appellant’s pickup truck.",Analysis
"The record clearly reflects that the statement was made by appellant after his arrest, in conversation with the arresting officer while he was being taken to jail from the scene of the arrest.",Analysis
It’s not like — a murder without malice case where you can give him a suspended sentence# You’ve got to put him in jail and you’ve got to destroy him.,Analysis
"Two points of error are presented, both complaining of the admission of evidence to the effect that appellant was taken by the officers to the stash and while under arrest he said that some of the beer was his.",Issue
"Neither of them, however, saw appellant after 6:30 P.M., and his arrest took place sometime after 9:00 P.M.",Facts
"The jury resolved the fact issues against appellant, and the evidence is sufficient to sustain the conviction.",Conclusion
"The Court fears, however, that this procedure would not necessarily solve defendant's problem.",Analysis
"381, 271 S.W. 2d 663, in passing upon the question of jury misconduct directly growing out of the receipt of other testimony after retirement of the jury, it was held that this court's primary concern was to determine whether or not the information received by the jury was untrue or was harmful to the appellant.",Rule/Law/Holding
"Darden Sr. testified ""I saw he was staggering ""” he was pretty tight.""",Facts
We took all the narcotics we could find.,Facts
There is no showing in this record as to what information was contained in the memorandum or that it in any way conflicted with the testimony the witness had given.,Facts
"It was stipulated that the area was dry, and by evidence and stipulation the two previous convictions of appellant upon pleas of guilty to the possession of whisky in a dry area for the purpose of sale were established.",Facts
"Trial of this cause was had August 22, 1961.",Facts
"The testimony shows that the wine was placed in the custody of the district attorney at the courthouse and properly labeled at the time, by written identification on the cases, and that the bottles were those found at the scene.",Facts
"I don't recall just exactly how she looked, to be exact.",Facts
"The conviction is for felony theft; the punishment, confinement in the penitentiary for two years.",Facts
"Is that where you mean; your private place down there, is that where you mean?",Facts
The record shows that appellant's previous conviction for the unlawful possession of a barbiturate was proved as well as stipulated.,Facts
"The indictment alleged the fraudulent taking of an automobile of a value in excess of $50, from the possession of the owner, without his consent, with the intent to deprive the owner of its value and to appropriate it to his own use and benefit.",Facts
This complaint presents no reversible error.,Conclusion
He admitted prior convictions for forgery.,Facts
"The appellant did not testify but recalled the state's witness Grace Box who testified that shortly after the robbery she ""picked out a man"" in Ã¡ police line-up, and that he was not the appellant.",Facts
"The Mays case was reversed because a juror said that appellant would have to serve one year and three months on a five-year sentence, when, actually, he would have to serve one year and eight months ""”which was a longer period than that stated by the juror.",Facts
"The evidence was undisputed that on the date alleged, the appellant, while driving his automobile upon a public street and highway in Harris County, was involved in a collision with two other automobiles.",Facts
"For such reason, the information in the instant case is insufficient.",Conclusion
The court instructed the jury in his charge on the law of both murder with and without malice and charged the jury on the appellant's right of self defense against a deadly attack.,Facts
"Appellant did not testify in his own behalf, but called his wife, who testified that they had come from Dallas to Grand Saline for a visit on the day in question and that when she last saw appellant that night she “wouldn’t say that he had been drinking or that he had,” that she didn’t know, but that she knew “he wasn’t drunk.”",Facts
"The Constitution (Article VI, Section 38) provides that an indictment shall conclude with the words ""˜against the peace and dignity of the State'.",Rule/Law/Holding
"Claims against the Commercial Port, and the Public Utility Agency, Guam Power Authority, Guam Economic Development Authority, Guam Telephone Authority, Guam International Airport Authority, Gaming Commission, Guam Transit Authority and Guam Memorial Hospital Authority, however, shall be paid only out of the funds of those agencies.""",Conclusion
Appellant insists that the court committed reversible error in permitting the state's witness to testify that on prior occasions he had purchased heroin from her over the objection that such was proof of extraneous offenses.,Issue
"When this cause was called for trial, the appellant appeared in person.",Facts
"The record before us reveals that appellant was on May 8, 1959, found guilty of felony theft and sentenced to five years; the execution of such sentence was probated upon condition that he would not violate the laws of this state.",Facts
He further contends that the issue of his guilt was submitted to the jury upon two separate factual theories; that the jury returned a general verdict of guilty; and that there was no way of ascertaining upon which one of the two theories the jury found him guilty.,Issue
The judgment nisi recites that the name of the principal was called distinctly at the door of the court house.,Facts
This violation authorized the arrest of the appellant and the search of his car was legal as it was incident to his arrest.,Analysis
"342, 58 S.W. 2d 1099, are to be construed as contrary to the result here reached, I would overrule the same.",Analysis
"Statutory rape is the offense; the punishment, twenty-five years in the penitentiary.",Facts
The court instructed the jury to acquit for the felony offense if they had a reasonable doubt as to appellant having appeared before the court to enter a plea in the prior misdemeanor convic,Facts
"While appellant was engaged in other matters, Betty went to the bar, where she and Hartwell were drinking and talking when, unfortunately for all concerned, Mrs. Hartwell, who was out looking for her missing husband, entered the bar and observed what was transpiring.",Facts
"Honyea testified that he obtained the pistol and another one, an automatic, from appellant; that he loaned appellant $15.",Facts
"He testified further that in order to gain access to the hallway in question it was necessary to open a screen door, which would have required some force, and that he gave no one permission to enter and move the unit.",Facts
Appellant was thereafter in custody of the officer for an hour at the scene of the collision.,Facts
Appellant's remaining claims of error relate to the court's refusal to give special requested charges.,Facts
"Appellant was seen to drop a small paper bag out of the car window which burst open, allowing its contents to scatter.",Facts
The offense is made a misdemeanor punishable by confinement not to exceed two years in jail.,Rule/Law/Holding
The testimony reflected no prior confinement in jail.,Facts
"Under the record, we find no error in the admission of such evidence.",Conclusion
The court submitted the issue of appellant's guilt to the jury upon the State's theory of theft by false pretext and instructed the jury on the law of principals.,Facts
* * * When I came upon the scene and pulled my car off the road and stopped and looked over * * * the accident he (appellant) was standing right there.,Facts
Relator further alleges that the charges in the indictment were false and known to the prosecution to be false and that such fact was suppressed from the grand jury and the court by the district attorney.,Facts
"We do not disagree with the results reached by this court in either Toombs or Thurman, supra.",Analysis
"The beer introduced as exhibits is described in the statement of facts as ""being two (2) cartons of canned beer containing two and one half (2%) cases.""",Facts
"The evidence is sufficient to support the conviction and no reversible error appearing, the judgment is affirmed.",Conclusion
"She testified that she had intercourse with someone, but denied that her father was the first one, or that he ever had sexual intercourse with her.",Facts
"This is an appeal by Jimmy Martin, surety on the habeas corpus bond of Charles Henry Glover, from the final judgment of the County Criminal Court No. 3 of Dallas County.",Facts
An examination of the record reflects that when appellant objected to the testimony the evidence did show that he was under arrest when such statement was made.,Facts
"The conviction is for negligent homicide in the first degree; the punishment, nine months in jail.",Facts
"A re-examination of the evidence shows, in addition to the facts set out in our original opinion, that the appellant owned the property where the barbecue and beer were sold, but that he had rented it to another person who was operating it.",Facts
She testified further that after the shooting everyone fled the cafe and left her lying on the floor until the deputy sheriff arrived some thirty minutes later.,Facts
"No exceptions to the court's rulings in this regard are shown in the record, hence these claims of error are not before this Court for review.",Analysis
"Where the state relies upon negligence, the extent of the injuries is admissible under the above rule and also as tending to shed light on the force of the collision, the speed of the automobile the accused was driving, and the manner of its operation.",Analysis
The issue of appellant's guilt was submitted to the jury upon a charge on the law of principals and circumstantial evidence.,Facts
"This was denied by Hart-well, his wife, and Mrs. Venable, the only other person in the automobile.",Facts
"that he told his wife ""we would just sit in the car until the ambulance came.""",Facts
The evidence shows that appellant shot the injured party who was her husband.,Facts
An examination of the deceased's body by a physician revealed three gun shot wounds; two in the right abdomen and the third in the left buttock which entered from the back.,Facts
"The trial court properly overruled appellant's request that the evidence relating to the search be discarded because he was under arrest and, therefore, incapable of giving his permission for a search of his home.",Facts
Appellant's motion for rehearing is overruled by the majority of the court without written opinion.,Conclusion
"After this, appellant asked him if he would like to get in the back seat and take his place, which he did, had an act of intercourse with prosecutrix, and was followed by appellant who got on top of her again.",Facts
"In enacting the article under which appellant was tried, the 56th Legislature did nothing more than carry out its purpose as announced in the caption of the act.",Analysis
At the outset appellant is confronted with the holdings of this Court that one may not urge discrimination in the selection of a jury against a class of which he is not a member.,Analysis
"The offense is driving while intoxicated; the punishment, 45 days in jail and a fine of $200.00.",Facts
"The sun was shining at the time, and the weather was fairly warm.",Facts
The prior misdemeanor conviction of appellant for driving while intoxicated was stipulated.,Facts
"The motion for new trial alleged that the juror ""was permitted to sit at a table with the matron in charge and two other persons, and there visited and carried on a conversation with said persons.""",Facts
After doing this awhile I got toy Polaroid camera and I took a picture of their privates.,Facts
"While the two were talking, appellant forced his way into the apartment, through the front door, fired two shots and then fled.",Facts
"Filer: Your Honor, I think it is material.",Others
Does this violate his freedom of expression?,Issue
"Mata testified that he heard a noise and then saw appellant with a pistol in his hand, that he disarmed appellant and later the man who assisted him turned the pistol over to Officer Williams.",Facts
Our former opinion is withdrawn.,Conclusion
It is a rule of statutory construction that if a proper disposition of the case can be made without considering a constitutional issue the courts will not pass upon the constitutionality of a statute.,Rule/Law/Holding
We find the evidence sufficient to sustain the conviction and do not deem it necessary to set out the testimony corroborating the testimony of the prosecutrix.,Analysis
"The state's evidence shows that on the date alleged in the indictment the state's witness, Everett Armstrong, while working undercover in the capacity of special employee for a Federal Narcotic Agent, went to the appellant's apartment in the city of Houston.",Facts
We have diligently reviewed the record.,Others
They were arrested before leaving Big Spring.,Facts
"When he got inside the trailer house, the appellant had a butcher knife in his hand and was trying to stab his father, whom he had down on the bed, and his father's hand was bleeding.",Facts
The attempted cumulation is ineffective in that the designation of the Harris County court is absent.,Analysis
"He went on up the road a short distance to a point where he picked up two more officers, and they returned immediately and entered upon appellant's property.",Facts
"R. 504, 335 S. W. 2d 612, similar proof was held sufficient to sustain a conviction for theft by false pretext.",Rule/Law/Holding
"He admits being at the service station, as the officers testified, but says he was having trouble with his car and stopped there because it needed water, and that they intended to stop at another place when the officers stopped them.",Facts
"He had threatened you many times, had he not?",Others
"It provides in part that where by the argument complained of some new fact is thereby injected into the case the trial court, by qualification or otherwise, may require the bill of exception to reflect any reason whereby the argument complained of would not be error.",Rule/Law/Holding
Appellant was convicted of the offense of assault with intent to murder without malice and his punishment was assessed at two years.,Facts
Opinion approved by the Court.,Others
"It is contended that the court erred in permitting the state to prove the use of firearms by the appellant during the robbery, on the ground that the state had dismissed that portion of the indictment.",Issue
The question is not before this Court for review.,Others
The argument of the prosecutor in this case was merely that the life of the fetus had been destroyed.,Facts
"In order to show the act of intercourse, as alleged, the state relies upon appellant's written confession made to the state's attorney, the testimony of the appellant before the grand jury, and his admissions to the county welfare worker.",Facts
The testimony of the state sufficiently shows that the appellant was guilty as charged.,Analysis
"In the same bill of exception, appellant raised another proposition or contention, maintaining that the trial court materially erred in charging the jury upon the law of principals.",Issue
"Appellant's confession, introduced in evidence without objection, recites the full events of the evening, including the statement ""* * * I got on top of her (prosecutrix) and had intercourse with her for about 15 or 20 minutes but did not reach a climax.""",Facts
"You are not saying that you didn't do wrong, you are just saying that you didn't get caught?",Others
"Not having been approved as required by law, the statement of facts here is not subject to consideration by this Court.",Analysis
"By Informal Bill of Exception No. V, appellant complains of the court’s action in permitting the prosecutrix’ husband to testify as to what his wife related to him, at the neighbor’s house on the night in question, concerning the attack upon her over appellant’s objection that such was hearsay and not a part of the res gestae.",Rule/Law/Holding
After a brief time they apprehended the appellant as he was leaving and with him they entered the house and searched it.,Facts
Appellant relies upon the decisions by this Court which hold that in prosecutions of this nature it is the court's duty to instruct the jury as to the causal connection between the accused's intoxication and death of the deceased necessary to convict.,Analysis
"Upon the granting of a severance, appellant was separately tried and convicted and his punishment assessed at confinement in the penitentiary for two years.",Facts
He points out that Jerry admitted on cross-examination that he merely saw appellant on top of prosecutrix and did not witness any actual penetration.,Facts
"We are unable to agree with the State that no reversible error is presented because at the time appellant objected to the testimony it was not shown that he was under arrest when the statement was made and when it was later shown that he was under arrest, appellant did not move the court to withdraw the testimony.",Analysis
"She stated that at such time she was scared and that, after the man left the house, she saw a 1955 blue and white Chevrolet automobile with a mirror on the fender and “loud tail pipes” drive out of the driveway.",Facts
"In proof of the two prior convictions, the state offered in evidence certain official court records and certain authenticated records of the Texas Prison System.",Facts
"These were the same boys, she stated, whom she had previously named as being with her on the steps and preventing her from going back downstairs, and that appellant was present.",Facts
She asked appellant if her bicycle was ready and he told her it was.,Facts
"The trial court had the right to disbelieve the testimony of appellant and his witness, and his order indicates that he did.",Analysis
"The state's testimony shows that the prosecuting witness,",Facts
No reversible error is shown.,Others
We first overrule appellant's contention that the evidence is insufficient to sustain the conviction.,Conclusion
All payments under this Act shall be made from the Government Claims Fund.,Rule/Law/Holding
Treasury Department showed that they contained heroin.,Facts
When he was arrested the appellant had eleven live rounds of .22 caliber ammunition in his pocket.,Facts
